input1,input2,output
10848,11418,15679
11418,15679,15926
15679,15926,17558
15926,17558,22144
17558,22144,11195
22144,11195,21093
11195,21093,23721
21093,23721,18297
23721,18297,16060
18297,16060,5457
16060,5457,7806
5457,7806,6665
7806,6665,7884
6665,7884,10770
7884,10770,11787
10770,11787,12358
11787,12358,12682
12358,12682,14762
12682,14762,14125
14762,14125,20388
14125,20388,25342
20388,25342,22882
25342,22882,26192
22882,26192,25208
26192,25208,22759
25208,22759,26103
22759,26103,22513
26103,22513,33641
22513,33641,27948
33641,27948,25902
27948,25902,34357
25902,34357,38036
34357,38036,42186
38036,42186,27881
42186,27881,24929
27881,24929,32981
24929,32981,19907
32981,19907,28172
19907,28172,14427
28172,14427,8914
14427,8914,14829
8914,14829,21160
14829,21160,21372
21160,21372,10781
21372,10781,11385
10781,11385,12078
11385,12078,11530
12078,11530,11631
11530,11631,12705
11631,12705,12951
12705,12951,14002
12951,14002,9416
14002,9416,8041
9416,8041,9857
8041,9857,7180
9857,7180,11944
7180,11944,12939
11944,12939,14561
12939,14561,19046
14561,19046,22323
19046,22323,23016
22323,23016,13208
23016,13208,10099
13208,10099,9797
10099,9797,20298
9797,20298,8421
20298,8421,13722
8421,13722,14445
13722,14445,15802
14445,15802,13946
15802,13946,8041
13946,8041,14214
8041,14214,11989
14214,11989,22636
11989,22636,24873
22636,24873,17368
24873,17368,16507
17368,16507,14337
16507,14337,12481
14337,12481,12783
12481,12783,20914
12783,20914,21204
20914,21204,25387
21204,25387,25398
25387,25398,24929
25398,24929,24873
24929,24873,18319
24873,18319,20768
18319,20768,22222
20768,22222,33182
22222,33182,37243
33182,37243,41078
37243,41078,41940
41078,41940,41563
41940,41563,44948
41563,44948,39747
44948,39747,43572
39747,43572,42376
43572,42376,36828
42376,36828,38495
36828,38495,32142
38495,32142,35061
32142,35061,41928
35061,41928,34245
41928,34245,32019
34245,32019,26875
32019,26875,24034
26875,24034,22177
24034,22177,20846
22177,20846,23039
20846,23039,15411
23039,15411,15299
15411,15299,22636
15299,22636,20120
22636,20120,24101
20120,24101,21450
24101,21450,13890
